time,wind_speed_10m,wind_direction_10m,wind_gusts_10m,temperature_2m,relative_humidity_2m,precipitation,lat,lon
2026-06-10 00:00:00,1.88,191,5.4,23.6,85,0.0,18.33,99.15
2026-06-10 01:00:00,0.76,212,4.8,23.4,89,0.0,18.33,99.15
2026-06-10 02:00:00,0.43,249,2.9,23.0,91,0.0,18.33,99.15
2026-06-10 03:00:00,0.6,180,2.3,22.4,95,0.0,18.33,99.15
2026-06-10 04:00:00,0.91,174,2.5,22.1,97,0.0,18.33,99.15
2026-06-10 05:00:00,0.75,180,2.5,22.1,98,0.0,18.33,99.15
2026-06-10 06:00:00,1.12,170,2.6,22.0,98,0.0,18.33,99.15
2026-06-10 07:00:00,0.99,135,2.9,23.1,94,0.0,18.33,99.15
2026-06-10 08:00:00,1.58,145,6.4,24.6,87,0.1,18.33,99.15
2026-06-10 09:00:00,1.72,154,6.9,25.9,83,0.1,18.33,99.15
2026-06-10 10:00:00,3.23,161,8.0,26.6,80,0.3,18.33,99.15
2026-06-10 11:00:00,1.92,141,8.6,23.5,95,7.0,18.33,99.15
2026-06-10 12:00:00,1.04,145,5.3,25.3,93,1.2,18.33,99.15
2026-06-10 13:00:00,2.72,122,7.1,25.3,97,4.0,18.33,99.15
2026-06-10 14:00:00,2.97,226,9.0,23.7,97,7.4,18.33,99.15
2026-06-10 15:00:00,1.09,196,7.5,25.1,96,1.6,18.33,99.15
2026-06-10 16:00:00,1.72,163,6.6,26.0,93,0.2,18.33,99.15
2026-06-10 17:00:00,2.1,183,7.0,24.8,96,1.8,18.33,99.15
2026-06-10 18:00:00,1.73,158,6.5,24.0,98,2.3,18.33,99.15
2026-06-10 19:00:00,1.77,151,4.0,23.5,99,0.3,18.33,99.15
2026-06-10 20:00:00,1.42,170,5.0,23.2,99,0.1,18.33,99.15
2026-06-10 21:00:00,2.01,145,4.4,23.0,99,0.0,18.33,99.15
2026-06-10 22:00:00,1.8,136,5.4,22.4,98,0.5,18.33,99.15
2026-06-10 23:00:00,1.94,136,4.3,22.4,100,0.9,18.33,99.15
2026-06-11 00:00:00,2.41,140,5.3,22.0,100,0.3,18.33,99.15
2026-06-11 01:00:00,2.82,143,6.4,22.0,100,0.1,18.33,99.15
2026-06-11 02:00:00,1.91,137,6.2,21.8,100,0.2,18.33,99.15
2026-06-11 03:00:00,1.75,121,5.0,21.9,100,0.1,18.33,99.15
2026-06-11 04:00:00,1.54,119,5.5,21.7,100,1.5,18.33,99.15
