time,wind_speed_10m,wind_direction_10m,wind_gusts_10m,temperature_2m,relative_humidity_2m,precipitation,lat,lon
2026-03-20 00:00:00,1.43,245,3.5,20.5,58,0.0,18.33,99.15
2026-03-20 01:00:00,1.64,239,3.5,20.5,59,0.0,18.33,99.15
2026-03-20 02:00:00,1.95,244,4.3,21.0,54,0.0,18.33,99.15
2026-03-20 03:00:00,1.66,245,4.4,20.9,56,0.0,18.33,99.15
2026-03-20 04:00:00,1.5,240,3.7,20.5,58,0.0,18.33,99.15
2026-03-20 05:00:00,0.96,264,3.3,20.4,60,0.0,18.33,99.15
2026-03-20 06:00:00,0.4,300,2.5,20.4,60,0.0,18.33,99.15
2026-03-20 07:00:00,0.07,225,1.6,21.0,60,0.0,18.33,99.15
2026-03-20 08:00:00,0.5,264,1.5,23.5,55,0.0,18.33,99.15
2026-03-20 09:00:00,0.57,322,2.3,26.2,49,0.0,18.33,99.15
2026-03-20 10:00:00,0.25,323,2.6,28.0,45,0.0,18.33,99.15
2026-03-20 11:00:00,0.05,270,2.5,29.2,41,0.0,18.33,99.15
2026-03-20 12:00:00,0.21,194,2.7,30.5,35,0.0,18.33,99.15
2026-03-20 13:00:00,0.21,256,2.8,31.5,28,0.0,18.33,99.15
2026-03-20 14:00:00,0.94,238,3.5,32.1,28,0.0,18.33,99.15
2026-03-20 15:00:00,1.79,243,4.9,31.9,28,0.0,18.33,99.15
2026-03-20 16:00:00,2.73,246,6.7,31.0,29,0.0,18.33,99.15
2026-03-20 17:00:00,2.0,269,6.8,29.5,36,0.0,18.33,99.15
2026-03-20 18:00:00,1.81,321,5.0,26.5,47,0.0,18.33,99.15
2026-03-20 19:00:00,0.3,279,4.3,25.5,53,0.0,18.33,99.15
2026-03-20 20:00:00,0.07,225,1.4,24.9,53,0.0,18.33,99.15
2026-03-20 21:00:00,0.99,210,2.1,24.0,52,0.0,18.33,99.15
2026-03-20 22:00:00,1.56,230,3.6,23.4,54,0.0,18.33,99.15
2026-03-20 23:00:00,1.35,248,3.5,22.4,60,0.0,18.33,99.15
2026-03-21 00:00:00,1.31,252,3.2,21.9,64,0.0,18.33,99.15
2026-03-21 01:00:00,0.56,207,3.1,21.8,64,0.0,18.33,99.15
2026-03-21 02:00:00,0.61,189,1.6,21.5,65,0.0,18.33,99.15
2026-03-21 03:00:00,0.86,187,2.0,21.0,67,0.0,18.33,99.15
2026-03-21 04:00:00,0.58,211,1.9,20.8,68,0.0,18.33,99.15
2026-03-21 05:00:00,0.32,219,1.7,20.6,69,0.0,18.33,99.15
2026-03-21 06:00:00,0.21,194,1.2,20.6,70,0.0,18.33,99.15
2026-03-21 07:00:00,0.61,215,0.8,20.3,74,0.0,18.33,99.15
2026-03-21 08:00:00,1.24,194,2.8,23.0,69,0.0,18.33,99.15
