PROJECT,prob_max,prob_mean,high_risk_pct,PROJ_TYPE,risk_level,risk_color
ห้วยก้างปลา,0.358,0.007666666666666666,0.0,โครงการพัฒนาพื้นที่สูงแบบโครงการหลวง,ปานกลาง 🟡,#FFC107
วาวี,0.09,0.00017857142857142857,0.0,โครงการพัฒนาพื้นที่สูงแบบโครงการหลวง,ต่ำ 🟢,#4CAF50
แม่สลอง,0.065,0.0005882352941176471,0.0,โครงการพัฒนาพื้นที่สูงแบบโครงการหลวง,ต่ำ 🟢,#4CAF50
ลุ่มน้ำแม่คำ,0.006,0.0,0.0,โครงการรักษ์น้ำเพื่อพระแม่ของแผ่นดิน,ต่ำ 🟢,#4CAF50
น้ำเคิม,0.001,0.0,0.0,โครงการพัฒนาพื้นที่สูงแบบโครงการหลวง,ต่ำ 🟢,#4CAF50
ปางยาง,0.001,0.0,0.0,โครงการพัฒนาพื้นที่สูงแบบโครงการหลวง,ต่ำ 🟢,#4CAF50
น้ำแป่ง,0.001,0.0,0.0,โครงการพัฒนาพื้นที่สูงแบบโครงการหลวง,ต่ำ 🟢,#4CAF50
ลุ่มน้ำปาย,0.001,0.0,0.0,โครงการรักษ์น้ำเพื่อพระแม่ของแผ่นดิน,ต่ำ 🟢,#4CAF50
สะเนียน,0.001,0.0,0.0,โครงการพัฒนาพื้นที่สูงแบบโครงการหลวง,ต่ำ 🟢,#4CAF50
ลุ่มน้ำแม่หาด,0.001,0.0,0.0,โครงการรักษ์น้ำเพื่อพระแม่ของแผ่นดิน,ต่ำ 🟢,#4CAF50
ลุ่มน้ำแม่สะงา,0.001,0.0,0.0,โครงการรักษ์น้ำเพื่อพระแม่ของแผ่นดิน,ต่ำ 🟢,#4CAF50
แม่มะลอ,0.001,0.0,0.0,โครงการพัฒนาพื้นที่สูงแบบโครงการหลวง,ต่ำ 🟢,#4CAF50
ปางหินฝน,0.0,0.0,0.0,โครงการพัฒนาพื้นที่สูงแบบโครงการหลวง,ต่ำ 🟢,#4CAF50
ป่ากล้วย,0.0,0.0,0.0,โครงการพัฒนาพื้นที่สูงแบบโครงการหลวง,ต่ำ 🟢,#4CAF50
ปางแดงใน,0.0,0.0,0.0,โครงการพัฒนาพื้นที่สูงแบบโครงการหลวง,ต่ำ 🟢,#4CAF50
น้ำแขว่ง,0.0,0.0,0.0,โครงการพัฒนาพื้นที่สูงแบบโครงการหลวง,ต่ำ 🟢,#4CAF50
ถ้ำเวียงแก,0.0,0.0,0.0,โครงการพัฒนาพื้นที่สูงแบบโครงการหลวง,ต่ำ 🟢,#4CAF50
บ่อเกลือ,0.0,0.0,0.0,โครงการพัฒนาพื้นที่สูงแบบโครงการหลวง,ต่ำ 🟢,#4CAF50
ปางมะโอ,0.0,0.0,0.0,โครงการพัฒนาพื้นที่สูงแบบโครงการหลวง,ต่ำ 🟢,#4CAF50
คลองลาน,0.0,0.0,0.0,โครงการพัฒนาพื้นที่สูงแบบโครงการหลวง,ต่ำ 🟢,#4CAF50
ดอยปุย,0.0,0.0,0.0,โครงการพัฒนาพื้นที่สูงแบบโครงการหลวง,ต่ำ 🟢,#4CAF50
ขุนสถาน,0.0,0.0,0.0,โครงการพัฒนาพื้นที่สูงแบบโครงการหลวง,ต่ำ 🟢,#4CAF50
ขุนตื่นน้อย,0.0,0.0,0.0,โครงการพัฒนาพื้นที่สูงแบบโครงการหลวง,ต่ำ 🟢,#4CAF50
ลุ่มน้ำของ,0.0,0.0,0.0,โครงการรักษ์น้ำเพื่อพระแม่ของแผ่นดิน,ต่ำ 🟢,#4CAF50
ฟ้าสวย,0.0,0.0,0.0,โครงการพัฒนาพื้นที่สูงแบบโครงการหลวง,ต่ำ 🟢,#4CAF50
พบพระ,0.0,0.0,0.0,โครงการพัฒนาพื้นที่สูงแบบโครงการหลวง,ต่ำ 🟢,#4CAF50
ผีปานเหนือ,0.0,0.0,0.0,โครงการพัฒนาพื้นที่สูงแบบโครงการหลวง,ต่ำ 🟢,#4CAF50
ผาแตก,0.0,0.0,0.0,โครงการพัฒนาพื้นที่สูงแบบโครงการหลวง,ต่ำ 🟢,#4CAF50
ผาแดง,0.0,0.0,0.0,โครงการพัฒนาพื้นที่สูงแบบโครงการหลวง,ต่ำ 🟢,#4CAF50
ผาผึ้ง-ศรีคีรีรักษ์,0.0,0.0,0.0,โครงการพัฒนาพื้นที่สูงแบบโครงการหลวง,ต่ำ 🟢,#4CAF50
ป่าแป๋,0.0,0.0,0.0,โครงการพัฒนาพื้นที่สูงแบบโครงการหลวง,ต่ำ 🟢,#4CAF50
ป่าเกี๊ยะใหม่,0.0,0.0,0.0,โครงการพัฒนาพื้นที่สูงแบบโครงการหลวง,ต่ำ 🟢,#4CAF50
ลุ่มน้ำสะมาด,0.0,0.0,0.0,โครงการรักษ์น้ำเพื่อพระแม่ของแผ่นดิน,ต่ำ 🟢,#4CAF50
ลุ่มน้ำหมัน,0.0,0.0,0.0,โครงการรักษ์น้ำเพื่อพระแม่ของแผ่นดิน,ต่ำ 🟢,#4CAF50
ลุ่มน้ำภาค,0.0,0.0,0.0,โครงการรักษ์น้ำเพื่อพระแม่ของแผ่นดิน,ต่ำ 🟢,#4CAF50
ลุ่มน้ำขุนน่าน,0.0,0.0,0.0,โครงการรักษ์น้ำเพื่อพระแม่ของแผ่นดิน,ต่ำ 🟢,#4CAF50
วังไผ่,0.0,0.0,0.0,โครงการพัฒนาพื้นที่สูงแบบโครงการหลวง,ต่ำ 🟢,#4CAF50
ลุ่มน้ำลี,0.0,0.0,0.0,โครงการรักษ์น้ำเพื่อพระแม่ของแผ่นดิน,ต่ำ 🟢,#4CAF50
ลุ่มน้ำปิงน้อย,0.0,0.0,0.0,โครงการรักษ์น้ำเพื่อพระแม่ของแผ่นดิน,ต่ำ 🟢,#4CAF50
สบเมย,0.0,0.0,0.0,โครงการพัฒนาพื้นที่สูงแบบโครงการหลวง,ต่ำ 🟢,#4CAF50
สบโขง,0.0,0.0,0.0,โครงการพัฒนาพื้นที่สูงแบบโครงการหลวง,ต่ำ 🟢,#4CAF50
ห้วยน้ำขาว,0.0,0.0,0.0,โครงการพัฒนาพื้นที่สูงแบบโครงการหลวง,ต่ำ 🟢,#4CAF50
ห้วยน้ำเย็น,0.0,0.0,0.0,โครงการพัฒนาพื้นที่สูงแบบโครงการหลวง,ต่ำ 🟢,#4CAF50
ห้วยเป้า,0.0,0.0,0.0,โครงการพัฒนาพื้นที่สูงแบบโครงการหลวง,ต่ำ 🟢,#4CAF50
